Month,Region,UnemploymentRate
7,Ballarat,3.5
7,Bendigo,4.7
7,Geelong,4.4
7,Hume,4.2
7,Latrobe - Gippsland,4.7
7,Melbourne - Inner,4.6
7,Melbourne - Inner East,3.7
7,Melbourne - Inner South,3.2
7,Melbourne - North East,4.6
7,Melbourne - North West,4.7
7,Melbourne - Outer East,4.3
7,Melbourne - South East,3.7
7,Melbourne - West,5.1
7,Mornington Peninsula,6.1
7,North West,5
7,Shepparton,2
7,Warrnambool and South West,2.9
6,Ballarat,2.7
6,Bendigo,4.0
6,Geelong,4.4
6,Hume,4.3
6,Latrobe - Gippsland,5.0
6,Melbourne - Inner,4.8
6,Melbourne - Inner East,4.0
6,Melbourne - Inner South,3.2
6,Melbourne - North East,4.3
6,Melbourne - North West,4.9
6,Melbourne - Outer East,4.9
6,Melbourne - South East,4.1
6,Melbourne - West,4.9
6,Mornington Peninsula,5.1
6,North West,2.5
6,Shepparton,4.6
6,Warrnambool and South West,3.1
